Index,Type,Time,Desceiption
0,MSG,333976184,jitter_iti_end_3
1,MSG,333974623,jitter_iti_start_3
2,MSG,333972630,reward_end_3
3,MSG,333972630,!V CLEAR 0 0 0
4,MSG,333970633,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 972 576 320
5,MSG,333970633,reward_start_3
6,MSG,333970614,forcedchoice_end_3
7,MSG,333970614,!V CLEAR 0 0 0
8,MSG,333968914,!V DRAWBOX 0 255 0 1845 537 1995 687
9,MSG,333968914,!V DRAWBOX 0 255 0 565 537 715 687
10,MSG,333968914,!V DRAWBOX 0 255 0 1205 1257 1355 1407
11,MSG,333968914,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
12,MSG,333968914,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
13,MSG,333968914,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
14,MSG,333968914,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png 1920 251 576 320
15,MSG,333968914,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png 640 251 576 320
16,MSG,333968913,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 972 576 320
17,MSG,333968913,forcedchoice_start_3
18,MSG,333968871,target_position : bottom
19,MSG,333968868,jitter_iti_end_2
20,MSG,333967043,jitter_iti_start_2
21,MSG,333965050,reward_end_2
22,MSG,333965050,!V CLEAR 0 0 0
23,MSG,333963053,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 972 576 320
24,MSG,333963053,reward_start_2
25,MSG,333963035,forcedchoice_end_2
26,MSG,333963035,!V CLEAR 0 0 0
27,MSG,333960593,!V DRAWBOX 0 255 0 1845 537 1995 687
28,MSG,333960593,!V DRAWBOX 0 255 0 565 537 715 687
29,MSG,333960593,!V DRAWBOX 0 255 0 1205 1257 1355 1407
30,MSG,333960593,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
31,MSG,333960593,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
32,MSG,333960593,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
33,MSG,333960593,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png 1920 251 576 320
34,MSG,333960593,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png 640 251 576 320
35,MSG,333960593,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 972 576 320
36,MSG,333960593,forcedchoice_start_2
37,MSG,333960550,target_position : bottom
38,MSG,333960548,jitter_iti_end_1
39,MSG,333958643,jitter_iti_start_1
40,MSG,333956649,reward_end_1
41,MSG,333956649,!V CLEAR 0 0 0
42,MSG,333954652,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
43,MSG,333954652,reward_start_1
44,MSG,333954635,forcedchoice_end_1
45,MSG,333954635,!V CLEAR 0 0 0
46,MSG,333951225,!V DRAWBOX 0 255 0 1845 537 1995 687
47,MSG,333951225,!V DRAWBOX 0 255 0 565 537 715 687
48,MSG,333951225,!V DRAWBOX 0 255 0 1205 1257 1355 1407
49,MSG,333951225,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
50,MSG,333951225,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
51,MSG,333951225,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
52,MSG,333951225,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
53,MSG,333951225,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png 640 251 576 320
54,MSG,333951225,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png 1280 972 576 320
55,MSG,333951225,forcedchoice_start_1
56,MSG,333951185,target_position : right
57,MSG,333951182,jitter_iti_end_0
58,MSG,333948854,jitter_iti_start_0
59,MSG,333948854,punishment_end_0
60,MSG,333940851,punishment_start_0
61,MSG,333940851,forcedchoice_end_0
62,MSG,333940851,!V CLEAR 0 0 0
63,MSG,333938253,!V DRAWBOX 0 255 0 1845 537 1995 687
64,MSG,333938253,!V DRAWBOX 0 255 0 565 537 715 687
65,MSG,333938253,!V DRAWBOX 0 255 0 1205 1257 1355 1407
66,MSG,333938253,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
67,MSG,333938253,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
68,MSG,333938253,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
69,MSG,333938253,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png 1920 251 576 320
70,MSG,333938253,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png 640 251 576 320
71,MSG,333938253,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 1280 972 576 320
72,MSG,333938253,forcedchoice_start_0
73,MSG,333938220,target_position : bottom
74,MSG,333938219,delay_end
75,MSG,333937213,delay_start
76,MSG,333937213,!V CLEAR 0 0 0
77,MSG,333937213,memory_iti_end
78,MSG,333935203,memory_iti_start
79,MSG,333935203,forcedmemory_end_pic_3
80,MSG,333935203,!V CLEAR 0 0 0
81,MSG,333930213,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
82,MSG,333930213,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 1280 720 576 320
83,MSG,333930212,forcedmemory_start_pic_3
84,MSG,333930202,memory_iti_end
85,MSG,333928192,memory_iti_start
86,MSG,333928192,forcedmemory_end_pic_2
87,MSG,333928192,!V CLEAR 0 0 0
88,MSG,333923192,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
89,MSG,333923192,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 720 576 320
90,MSG,333923192,forcedmemory_start_pic_2
91,MSG,333923178,memory_iti_end
92,MSG,333921168,memory_iti_start
93,MSG,333921168,forcedmemory_end_pic_1
94,MSG,333921168,!V CLEAR 0 0 0
95,MSG,333916169,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
96,MSG,333916168,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 720 576 320
97,MSG,333916168,forcedmemory_start_pic_1
98,MSG,333916154,memory_iti_end
99,MSG,333914143,memory_iti_start
100,MSG,333914143,forcedmemory_end_pic_0
101,MSG,333914143,!V CLEAR 0 0 0
102,MSG,333909142,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
103,MSG,333909142,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1280 720 576 320
104,MSG,333909142,forcedmemory_start_pic_0
105,MSG,333909129,selfpaced_start_m_end
106,MSG,333908116,selfpaced_start_m_start
107,MSG,333908116,EYE_USED 1 RIGHT
108,MSG,333907981,!MODE RECORD CR 2000 2 1 R
109,MSG,333907980,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
110,MSG,333907980,ELCL_PROC ELLIPSE (5)
111,MSG,333907980,PUPIL_DATA_TYPE RAW_AUTOSLIP
112,MSG,333907980,CAMERA_LENS_FOCAL_LENGTH 27.00
113,MSG,333907980,ELCL_WINDOW_SIZES 160 160 0 0
114,MSG,333907980,THRESHOLDS R 65 201
115,MSG,333907980,GAZE_COORDS 0.00 0.00 2559.00 1439.00
116,MSG,333907980,ELCLCFG MPRIM
117,MSG,333907980,RECCFG CR 2000 2 1 R
118,MSG,333907939,jitter_iti_end_3
119,MSG,333906563,jitter_iti_start_3
120,MSG,333906563,punishment_end_3
121,MSG,333898560,punishment_start_3
122,MSG,333898559,forcedchoice_end_3
123,MSG,333898559,!V CLEAR 0 0 0
124,MSG,333895646,!V DRAWBOX 0 255 0 1845 537 1995 687
125,MSG,333895646,!V DRAWBOX 0 255 0 565 537 715 687
126,MSG,333895646,!V DRAWBOX 0 255 0 1205 1257 1355 1407
127,MSG,333895646,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
128,MSG,333895646,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
129,MSG,333895646,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
130,MSG,333895646,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png 1920 251 576 320
131,MSG,333895646,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 640 251 576 320
132,MSG,333895646,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png 1280 972 576 320
133,MSG,333895646,forcedchoice_start_3
134,MSG,333895612,target_position : left
135,MSG,333895610,jitter_iti_end_2
136,MSG,333894366,jitter_iti_start_2
137,MSG,333894366,punishment_end_2
138,MSG,333886363,punishment_start_2
139,MSG,333886363,forcedchoice_end_2
140,MSG,333886363,!V CLEAR 0 0 0
141,MSG,333884040,!V DRAWBOX 0 255 0 1845 537 1995 687
142,MSG,333884040,!V DRAWBOX 0 255 0 565 537 715 687
143,MSG,333884040,!V DRAWBOX 0 255 0 1205 1257 1355 1407
144,MSG,333884040,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
145,MSG,333884040,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
146,MSG,333884040,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
147,MSG,333884040,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1920 251 576 320
148,MSG,333884040,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png 640 251 576 320
149,MSG,333884040,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png 1280 972 576 320
150,MSG,333884040,forcedchoice_start_2
151,MSG,333883998,target_position : right
152,MSG,333883995,jitter_iti_end_1
153,MSG,333882011,jitter_iti_start_1
154,MSG,333880017,reward_end_1
155,MSG,333880017,!V CLEAR 0 0 0
156,MSG,333878020,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
157,MSG,333878020,reward_start_1
158,MSG,333878002,forcedchoice_end_1
159,MSG,333878002,!V CLEAR 0 0 0
160,MSG,333876815,!V DRAWBOX 0 255 0 1845 537 1995 687
161,MSG,333876815,!V DRAWBOX 0 255 0 565 537 715 687
162,MSG,333876815,!V DRAWBOX 0 255 0 1205 1257 1355 1407
163,MSG,333876815,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
164,MSG,333876815,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
165,MSG,333876815,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
166,MSG,333876815,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
167,MSG,333876815,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png 640 251 576 320
168,MSG,333876815,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png 1280 972 576 320
169,MSG,333876814,forcedchoice_start_1
170,MSG,333876775,target_position : right
171,MSG,333876772,jitter_iti_end_0
172,MSG,333874669,jitter_iti_start_0
173,MSG,333874669,punishment_end_0
174,MSG,333866666,punishment_start_0
175,MSG,333866666,forcedchoice_end_0
176,MSG,333866666,!V CLEAR 0 0 0
177,MSG,333865149,!V DRAWBOX 0 255 0 1845 537 1995 687
178,MSG,333865149,!V DRAWBOX 0 255 0 565 537 715 687
179,MSG,333865149,!V DRAWBOX 0 255 0 1205 1257 1355 1407
180,MSG,333865149,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
181,MSG,333865149,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
182,MSG,333865149,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
183,MSG,333865149,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1920 251 576 320
184,MSG,333865149,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png 640 251 576 320
185,MSG,333865149,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png 1280 972 576 320
186,MSG,333865149,forcedchoice_start_0
187,MSG,333865107,target_position : right
188,MSG,333865105,delay_end
189,MSG,333864100,delay_start
190,MSG,333864100,!V CLEAR 0 0 0
191,MSG,333864100,memory_iti_end
192,MSG,333862090,memory_iti_start
193,MSG,333862090,forcedmemory_end_pic_3
194,MSG,333862090,!V CLEAR 0 0 0
195,MSG,333857090,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
196,MSG,333857090,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 720 576 320
197,MSG,333857090,forcedmemory_start_pic_3
198,MSG,333857075,memory_iti_end
199,MSG,333855065,memory_iti_start
200,MSG,333855065,forcedmemory_end_pic_2
201,MSG,333855065,!V CLEAR 0 0 0
202,MSG,333850065,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
203,MSG,333850065,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 720 576 320
204,MSG,333850065,forcedmemory_start_pic_2
205,MSG,333850051,memory_iti_end
206,MSG,333848041,memory_iti_start
207,MSG,333848041,forcedmemory_end_pic_1
208,MSG,333848041,!V CLEAR 0 0 0
209,MSG,333843040,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
210,MSG,333843040,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1280 720 576 320
211,MSG,333843040,forcedmemory_start_pic_1
212,MSG,333843027,memory_iti_end
213,MSG,333841017,memory_iti_start
214,MSG,333841017,forcedmemory_end_pic_0
215,MSG,333841017,!V CLEAR 0 0 0
216,MSG,333836026,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
217,MSG,333836026,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 1280 720 576 320
218,MSG,333836026,forcedmemory_start_pic_0
219,MSG,333836015,selfpaced_start_m_end
220,MSG,333835007,selfpaced_start_m_start
221,MSG,333835007,EYE_USED 1 RIGHT
222,MSG,333834869,!MODE RECORD CR 2000 2 1 R
223,MSG,333834868,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
224,MSG,333834868,ELCL_PROC ELLIPSE (5)
225,MSG,333834868,PUPIL_DATA_TYPE RAW_AUTOSLIP
226,MSG,333834868,CAMERA_LENS_FOCAL_LENGTH 27.00
227,MSG,333834868,ELCL_WINDOW_SIZES 160 160 0 0
228,MSG,333834868,THRESHOLDS R 65 201
229,MSG,333834868,GAZE_COORDS 0.00 0.00 2559.00 1439.00
230,MSG,333834868,ELCLCFG MPRIM
231,MSG,333834868,RECCFG CR 2000 2 1 R
232,MSG,333834825,jitter_iti_end_3
233,MSG,333833291,jitter_iti_start_3
234,MSG,333833291,punishment_end_3
235,MSG,333825287,punishment_start_3
236,MSG,333825287,forcedchoice_end_3
237,MSG,333825287,!V CLEAR 0 0 0
238,MSG,333822184,!V DRAWBOX 0 255 0 1845 537 1995 687
239,MSG,333822184,!V DRAWBOX 0 255 0 565 537 715 687
240,MSG,333822184,!V DRAWBOX 0 255 0 1205 1257 1355 1407
241,MSG,333822184,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
242,MSG,333822183,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
243,MSG,333822183,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
244,MSG,333822183,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png 1920 251 576 320
245,MSG,333822183,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png 640 251 576 320
246,MSG,333822183,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 972 576 320
247,MSG,333822183,forcedchoice_start_3
248,MSG,333822141,target_position : bottom
249,MSG,333822139,jitter_iti_end_2
250,MSG,333820671,jitter_iti_start_2
251,MSG,333820671,punishment_end_2
252,MSG,333812668,punishment_start_2
253,MSG,333812668,forcedchoice_end_2
254,MSG,333812668,!V CLEAR 0 0 0
255,MSG,333809310,!V DRAWBOX 0 255 0 1845 537 1995 687
256,MSG,333809310,!V DRAWBOX 0 255 0 565 537 715 687
257,MSG,333809310,!V DRAWBOX 0 255 0 1205 1257 1355 1407
258,MSG,333809310,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
259,MSG,333809310,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
260,MSG,333809310,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
261,MSG,333809310,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
262,MSG,333809310,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png 640 251 576 320
263,MSG,333809310,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png 1280 972 576 320
264,MSG,333809310,forcedchoice_start_2
265,MSG,333809271,target_position : right
266,MSG,333809268,jitter_iti_end_1
267,MSG,333806741,jitter_iti_start_1
268,MSG,333806741,punishment_end_1
269,MSG,333798738,punishment_start_1
270,MSG,333798738,forcedchoice_end_1
271,MSG,333798738,!V CLEAR 0 0 0
272,MSG,333795293,!V DRAWBOX 0 255 0 1845 537 1995 687
273,MSG,333795293,!V DRAWBOX 0 255 0 565 537 715 687
274,MSG,333795293,!V DRAWBOX 0 255 0 1205 1257 1355 1407
275,MSG,333795293,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
276,MSG,333795293,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
277,MSG,333795293,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
278,MSG,333795293,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png 1920 251 576 320
279,MSG,333795293,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 640 251 576 320
